wl	n
0.930480	0.192614
0.932052	0.192769
0.933623	0.192925
0.935195	0.193082
0.936766	0.193239
0.938336	0.193397
0.939907	0.193555
0.941478	0.193714
0.943048	0.193873
0.944618	0.194034
0.946188	0.194195
0.947758	0.194356
0.949328	0.194519
0.950897	0.194682
0.952466	0.194846
0.954036	0.195011
0.955604	0.195176
0.957173	0.195343
0.958742	0.195510
0.960310	0.195679
0.961879	0.195848
0.963447	0.196018
0.965015	0.196189
0.966582	0.196361
0.968150	0.196534
0.969717	0.196708
0.971285	0.196883
0.972852	0.197058
0.974418	0.197235
0.975985	0.197412
0.977552	0.197590
0.979118	0.197769
0.980684	0.197948
0.982250	0.198128
0.983816	0.198309
0.985381	0.198491
0.986947	0.198673
0.988512	0.198856
0.990077	0.199039
0.991642	0.199223
0.993206	0.199408
0.994771	0.199593
0.996335	0.199778
0.997899	0.199965
0.999463	0.200151
1.011663	0.201624
1.015086	0.202041
1.018509	0.202460
1.021931	0.202881
1.025352	0.203302
1.028773	0.203725
1.032194	0.204149
1.035614	0.204573
1.039034	0.204998
1.042454	0.205423
1.045873	0.205849
1.049292	0.206273
1.052711	0.206697
1.056129	0.207121
1.059547	0.207544
1.062964	0.207967
1.066382	0.208390
1.069799	0.208812
1.073215	0.209235
1.076632	0.209658
1.080048	0.210082
1.083464	0.210506
1.086879	0.210930
1.090295	0.211355
1.093710	0.211781
1.097125	0.212208
1.100539	0.212636
1.103954	0.213065
1.107368	0.213495
1.110782	0.213926
1.114196	0.214359
1.117609	0.214793
1.121023	0.215228
1.124436	0.215666
1.127849	0.216105
1.131262	0.216546
1.134675	0.216988
1.138088	0.217433
1.141500	0.217880
1.144913	0.218328
1.148325	0.218779
1.151738	0.219232
1.155150	0.219688
1.158562	0.220145
1.161974	0.220605
1.165386	0.221067
1.168798	0.221530
1.172210	0.221995
1.175622	0.222462
1.179034	0.222931
1.182446	0.223401
1.185858	0.223873
1.189270	0.224346
1.192682	0.224821
1.196093	0.225297
1.199505	0.225774
1.202917	0.226252
1.206329	0.226732
1.209742	0.227212
1.213154	0.227694
1.216566	0.228176
1.219978	0.228659
1.223391	0.229143
1.226803	0.229628
1.230216	0.230113
1.233629	0.230599
1.237041	0.231085
1.240454	0.231572
1.243867	0.232059
1.247281	0.232547
1.250694	0.233035
1.254108	0.233524
1.257522	0.234013
1.260936	0.234503
1.264350	0.234994
1.267764	0.235486
1.271179	0.235979
1.274594	0.236474
1.278009	0.236970
1.281424	0.237467
1.284840	0.237967
1.288255	0.238468
1.291671	0.238971
1.295088	0.239476
1.298504	0.239984
1.301921	0.240494
1.305338	0.241007
1.308756	0.241522
1.312174	0.242040
1.315592	0.242560
1.319010	0.243084
1.322429	0.243611
1.325849	0.244141
1.329268	0.244674
1.332688	0.245211
1.336108	0.245751
1.339529	0.246295
1.342950	0.246843
1.346372	0.247394
1.349794	0.247950
1.353216	0.248509
1.356639	0.249072
1.360062	0.249640
1.363486	0.250212
1.366910	0.250788
1.370334	0.251369
1.373759	0.251955
1.377185	0.252545
1.380611	0.253140
1.384038	0.253740
1.387465	0.254344
1.390892	0.254954
1.394320	0.255569
1.397749	0.256189
1.401178	0.256815
1.404608	0.257446
1.408038	0.258082
1.411469	0.258724
1.414900	0.259371
1.418332	0.260025
1.421765	0.260684
1.425198	0.261349
1.428632	0.262020
1.432067	0.262697
1.435502	0.263380
1.438938	0.264070
1.442374	0.264765
1.445811	0.265468
1.449249	0.266176

wl	k
0.245202	1.331022
0.246793	1.342173
0.248384	1.352390
0.249976	1.360441
0.251567	1.365649
0.253159	1.369346
0.254751	1.373296
0.256342	1.377493
0.257934	1.380957
0.259526	1.385425
0.261118	1.388624
0.262710	1.388161
0.264302	1.387543
0.265894	1.387035
0.267486	1.386098
0.269078	1.384834
0.270671	1.382323
0.272263	1.377756
0.273856	1.371857
0.275448	1.364803
0.277041	1.356414
0.278633	1.346650
0.280226	1.335003
0.281819	1.322091
0.283412	1.308001
0.285004	1.292706
0.286597	1.276244
0.288190	1.258708
0.289783	1.240198
0.291377	1.221170
0.292970	1.200512
0.294563	1.177539
0.296156	1.151580
0.297750	1.119556
0.299343	1.081758
0.300936	1.035518
0.302530	0.981291
0.304124	0.924319
0.305717	0.862526
0.307311	0.794018
0.308905	0.729033
0.310498	0.666868
0.312092	0.603757
0.313686	0.541588
0.315280	0.478805
0.316874	0.407797
0.318468	0.327906
0.320062	0.254230
0.321656	0.205534
0.323250	0.186685
0.324844	0.194293
0.326439	0.225011
0.328033	0.278807
0.329627	0.366136
0.331222	0.479734
0.332816	0.590405
0.334411	0.685981
0.336005	0.770536
0.337600	0.850140
0.339194	0.924251
0.340789	0.984005
0.342384	1.034139
0.343978	1.087744
0.345573	1.140053
0.347168	1.184273
0.348763	1.224136
0.350358	1.263474
0.351952	1.302222
0.353547	1.339786
0.355142	1.375640
0.356737	1.409608
0.358332	1.441979
0.359928	1.473051
0.361523	1.503093
0.363118	1.532351
0.364713	1.561050
0.366308	1.589396
0.367903	1.617465
0.369499	1.645204
0.371094	1.672551
0.372689	1.699454
0.374285	1.725859
0.375880	1.751718
0.377476	1.776983
0.379071	1.801611
0.380667	1.825569
0.382262	1.848890
0.383858	1.871626
0.385453	1.893827
0.387049	1.915539
0.388644	1.936805
0.390240	1.957667
0.391836	1.978165
0.393431	1.998337
0.395027	2.018219
0.396623	2.037845
0.398219	2.057249
0.399814	2.076463
0.401410	2.095516
0.403006	2.114440
0.404602	2.133262
0.406198	2.152009
0.407793	2.170709
0.409389	2.189387
0.410985	2.208056
0.412581	2.226702
0.414177	2.245305
0.415773	2.263849
0.417369	2.282315
0.418965	2.300687
0.420561	2.318949
0.422157	2.337084
0.423753	2.355078
0.425349	2.372916
0.426945	2.390584
0.428541	2.408066
0.430137	2.425350
0.431733	2.442428
0.433329	2.459308
0.434925	2.475997
0.436521	2.492505
0.438117	2.508840
0.439713	2.525011
0.441310	2.541025
0.442906	2.556890
0.444502	2.572614
0.446098	2.588204
0.447694	2.603666
0.449290	2.619009
0.450886	2.634238
0.452482	2.649361
0.454079	2.664383
0.455675	2.679311
0.457271	2.694151
0.458867	2.708909
0.460463	2.723590
0.462059	2.738202
0.463655	2.752748
0.465251	2.767234
0.466848	2.781667
0.468444	2.796050
0.470040	2.810390
0.471636	2.824689
0.473232	2.838948
0.474828	2.853166
0.476424	2.867346
0.478020	2.881487
0.479616	2.895589
0.481212	2.909654
0.482809	2.923682
0.484405	2.937672
0.486001	2.951626
0.487597	2.965543
0.489193	2.979424
0.490789	2.993271
0.492385	3.007081
0.493981	3.020858
0.495577	3.034599
0.497173	3.048307
0.498769	3.061981
0.500365	3.075621
0.501960	3.089229
0.503556	3.102804
0.505152	3.116346
0.506748	3.129856
0.508344	3.143334
0.509940	3.156781
0.511536	3.170197
0.513131	3.183582
0.514727	3.196935
0.516323	3.210259
0.517919	3.223552
0.519515	3.236815
0.521110	3.250049
0.522706	3.263253
0.524302	3.276429
0.525897	3.289575
0.527493	3.302692
0.529088	3.315781
0.530684	3.328842
0.532279	3.341875
0.533875	3.354880
0.535470	3.367858
0.537066	3.380810
0.538661	3.393735
0.540257	3.406635
0.541852	3.419510
0.543447	3.432360
0.545043	3.445186
0.546638	3.457987
0.548233	3.470766
0.549829	3.483521
0.551424	3.496253
0.553019	3.508963
0.554614	3.521651
0.556209	3.534319
0.557804	3.546964
0.559399	3.559589
0.560994	3.572194
0.562589	3.584778
0.564184	3.597344
0.565779	3.609889
0.567374	3.622416
0.568969	3.634924
0.570563	3.647415
0.572158	3.659886
0.573753	3.672341
0.575347	3.684778
0.576942	3.697198
0.578536	3.709602
0.580131	3.721989
0.581725	3.734360
0.583320	3.746716
0.584914	3.759056
0.586509	3.771381
0.588103	3.783691
0.589697	3.795987
0.591291	3.808268
0.592886	3.820536
0.594480	3.832789
0.596074	3.845029
0.597668	3.857257
0.599262	3.869471
0.600856	3.881672
0.602449	3.893861
0.604043	3.906038
0.605637	3.918203
