wl	n
1.398754	4.735
1.400410	4.739
1.402066	4.743
1.403722	4.747
1.405378	4.751
1.407034	4.755
1.408689	4.759
1.410345	4.762
1.412001	4.766
1.413657	4.770
1.415313	4.774
1.416968	4.778
1.418624	4.781
1.420280	4.785
1.421936	4.789
1.423592	4.792
1.425248	4.796
1.426903	4.800
1.428559	4.803
1.430215	4.807
1.431871	4.810
1.433527	4.814
1.435183	4.817
1.436838	4.821
1.438494	4.824
1.440150	4.827
1.441806	4.831
1.443462	4.834
1.445118	4.838
1.446773	4.841
1.448429	4.844
1.450085	4.847
1.451741	4.851
1.453397	4.854
1.455053	4.857
1.456708	4.860
1.458364	4.863
1.460020	4.866
1.461676	4.870
1.463332	4.873
1.464987	4.876
1.466643	4.879
1.468299	4.882
1.469955	4.885
1.471611	4.887
1.473267	4.890
1.474922	4.893
1.476578	4.896
1.478234	4.899
1.479890	4.902
1.481546	4.904
1.483202	4.907
1.484857	4.910
1.486513	4.913
1.488169	4.915
1.489825	4.918
1.491481	4.921
1.493137	4.923
1.494792	4.926
1.496448	4.928
1.498104	4.931
1.499760	4.933
1.501416	4.936
1.503072	4.938
1.504727	4.941
1.506383	4.943
1.508039	4.945
1.509695	4.948
1.511351	4.950
1.513006	4.952
1.514662	4.954
1.516318	4.957
1.517974	4.959
1.519630	4.961
1.521286	4.963
1.522941	4.965
1.524597	4.967
1.526253	4.969
1.527909	4.971
1.529565	4.973
1.531221	4.975
1.532876	4.977
1.534532	4.979
1.536188	4.981
1.537844	4.983
1.539500	4.985
1.541156	4.987
1.542811	4.988
1.544467	4.990
1.546123	4.992
1.547779	4.994
1.549435	4.995
1.551091	4.997
1.552746	4.998
1.554402	5.000
1.556058	5.002
1.557714	5.003
1.559370	5.005
1.561026	5.006
1.562681	5.008
1.564337	5.009
1.565993	5.010
1.567649	5.012
1.569305	5.013
1.570960	5.014
1.572616	5.016
1.574272	5.017
1.575928	5.018
1.577584	5.019
1.579240	5.021
1.580895	5.022
1.582551	5.023
1.584207	5.024
1.585863	5.025
1.587519	5.026
1.589175	5.027
1.590830	5.028
1.592486	5.029
1.594142	5.030
1.595798	5.031
1.597454	5.032
1.599110	5.033
1.600765	5.034
1.602421	5.034
1.604077	5.035
1.605733	5.036
1.607389	5.037
1.609045	5.037
1.610700	5.038
1.612356	5.039
1.614012	5.039
1.615668	5.040
1.617324	5.040
1.618979	5.041
1.620635	5.041
1.622291	5.042
1.623947	5.042
1.625603	5.043
1.627259	5.043
1.628914	5.044
1.630570	5.044
1.632226	5.044
1.633882	5.045
1.635538	5.045
1.637194	5.045
1.638849	5.045
1.640505	5.046
1.642161	5.046
1.643817	5.046
1.645473	5.046
1.647129	5.046
1.648784	5.046
1.650440	5.046
1.652096	5.046
1.653752	5.046
1.655408	5.046
1.657064	5.046
1.658719	5.046
1.660375	5.046
1.662031	5.046
1.663687	5.046
1.665343	5.045
1.666998	5.045
1.668654	5.045
1.670310	5.045
1.671966	5.044
1.673622	5.044
1.675278	5.044
1.676933	5.043
1.678589	5.043
1.680245	5.043
1.681901	5.042
1.683557	5.042
1.685213	5.041
1.686868	5.041
1.688524	5.040
1.690180	5.040
1.691836	5.039
1.693492	5.038
1.695148	5.038
1.696803	5.037
1.698459	5.036
1.700115	5.036
1.701771	5.035
1.703427	5.034
